lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-96.7,41.3,3,0,0,-0.252316781,-1.133040407,0.443621013,1.00591521,1.030248393,1.383295057,-62646,431182
-96.7,41.8,2,0,0,-0.398025676,-1.112106686,0.347110088,1.068839412,1.092348913,1.339684019,-62202,487006
-96.7,42.3,1,0,0,-0.518132554,-1.248254361,0.955338475,1.145254152,1.289511896,1.281040615,-61760,542799
-96.7,42.8,4,0,0,-0.452883603,-1.494780689,1.595769555,1.202880747,1.477010648,1.701348301,-61317,598556
-96.7,43.3,3,0,0,-0.601752049,-1.610626916,1.227427237,1.292449195,1.489565311,1.722691006,-60875,654271
-96.7,43.8,2,0,0,-0.826563385,-1.601400291,0.581294831,1.391232452,1.422163303,1.633176824,-60433,709940
-96.7,44.3,1,0,0,-0.925168061,-1.672698733,0.627242066,1.457390977,1.515103158,2.019532003,-59991,765557
-96.7,44.8,1,0,0,-1.031997303,-1.697786255,0.564258177,1.524980892,1.596888963,1.987806595,-59550,821117
-96.7,45.3,3,0,0,-1.118893114,-1.770117344,0.610353698,1.601237794,1.712720506,1.755289682,-59109,876613
-96.7,45.8,3,0,0,-1.157942846,-1.762420029,0.513802719,1.723763465,1.79946765,1.778244471,-58669,932040
-96.7,46.3,3,0,0,-1.255775885,-1.769462378,0.419319216,1.825773452,1.880711551,1.907420016,-58230,987393
-96.7,46.8,4,0,0,-1.359308841,-1.839707242,0.149588536,1.929941642,1.908119384,1.912394937,-57791,1042664
-96.7,47.3,5,0,0,-1.394694439,-1.778886642,0.314311696,2.049722776,2.071278313,1.811631662,-57353,1097848
-96.7,47.8,2,0,0,-1.478507728,-1.823103783,0.366976951,2.168198357,2.158965035,1.89958501,-56916,1152939
-96.2,36.8,3,0,0,0.814555271,-0.200646296,1.414688958,-0.040864159,0.294766405,0.357764749,-22396,-72091
-96.2,37.3,17,0,0,0.607764099,-0.143840608,1.971757956,0.204413905,0.597877437,0.503441198,-22247,-16195
