"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,Zanthoxylum hirsutum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ziziphus parryi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,,,,
Bailey_ecoregions_on_25km_grid.nc ,y,meters,-3802596.0 to 4242352.0,y coordinate of projection
,x,meters,-3414576.0 to 3802596.0,x coordinate of projection
,ID,NA,2904 to 32582,unique grid point identifier
,latitude,decimal degrees,2.172780 to 87.894984,"latitude of grid point in decimal degrees (These grid-point latitude values were recalculated using 6 decimal places whereas the latitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,longitude,decimal degrees,-186.782172 to -9.989273,"longitude of grid point in decimal degrees (These grid-point longitude values were recalculated using 6 decimal places whereas the longitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,row,NA,66 to 311,row identifier (y-coordinate)
,col,NA,1 to 257,column identifier (x-coordinate)
,elevation,meters,-115 to 3736 9999?,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,albers_conical_equal_area,NA,NA,Albers conical equal-area projection details
,Glacial_ice ,Number,1,"Glacial ice (POLAR DOMAIN, Icecap Division)"
,Ice_and_stoney_deserts ,Number,2,"Ice and stoney deserts (POLAR DOMAIN, Tundra Division)"
,Arctic_tundras ,Number,3,"Arctic tundras (POLAR DOMAIN, Tundra Division)"
,Tundras,Number,4,"Tundras (POLAR DOMAIN, Tundra Division)"
,Polar_desert ,Number,5,"Polar desert (POLAR DOMAIN, Tundra Mountains)"
,Tundra_-_polar_desert ,Number,6,"Tundra - polar desert (POLAR DOMAIN, Tundra Mountains)"
,Tundra_-_meadow ,Number,7,"Tundra - meadow (POLAR DOMAIN, Tundra Mountains)"
,Oceanic_meadow_-_heath ,Number,8,"Oceanic meadow - heath (POLAR DOMAIN, Tundra Mountains)"
,Forest-tundras_and_open_woodlands ,Number,9,"Forest-tundras and open woodlands (POLAR DOMAIN, Subarctic Division)"
,Tayga_(boreal_forests) ,Number,10,"Tayga (boreal forests) (POLAR DOMAIN, Subarctic Division)"
,Open_woodland_-_tundra ,Number,11,"Open woodland - tundra (POLAR DOMAIN, Subarctic Mountains)"
,Tayga_-_tundra_medium,Number,12,"Tayga - tundra, medium (POLAR DOMAIN, Subarctic Mountains)"
,Tayga_-_tundra_high,Number,13,"Tayga - tundra, high (POLAR DOMAIN, Subarctic Mountains)"
,Mixed_deciduous-coniferous_forests ,Number,14,"Mixed deciduous-coniferous forests (HUMID TEMPERATE DOMAIN, Warm Continental Division)"
,Mixed_forest_-_coniferous_forest_-_tundra_medium,Number,15,"Mixed forest - coniferous forest - tundra, medium (HUMID TEMPERATE DOMAIN, Warm Continental Mountains)"
,Mixed_forest_-_coniferous_forest_-_tundra_high ,Number,16,"Mixed forest - coniferous forest - tundra, high (HUMID TEMPERATE DOMAIN, Warm Continental Mountains)"
,Broadleaved_forests_oceanic ,Number,17,"Broadleaved forests, oceanic (HUMID TEMPERATE DOMAIN, Hot Continental Division)"
,Broadleaved_forests_continental ,Number,18,"Broadleaved forests, continental (HUMID TEMPERATE DOMAIN, Hot Continental Division)"
,Deciduous_or_mixed_forest_-_coniferous_forest_-_meadow_(Hot_Continental_Mountains) ,Number,19,"Deciduous or mixed forest - coniferous forest - meadow (HUMID TEMPERATE DOMAIN, Hot Continental Mountains)"
,Broadleaf_forest_-_meadow ,Number,20,"Broadleaf forest - meadow (HUMID TEMPERATE DOMAIN, Hot Continental Mountains)"
,Broadleaved-coniferous_evergreen_forests,Number,21,"Broadleaved-coniferous evergreen forests (HUMID TEMPERATE DOMAIN, Subtropical Division)"
,Coniferous-broadleaved_semi-evergreen_forests ,Number,22,"Coniferous-broadleaved semi-evergreen forests (HUMID TEMPERATE DOMAIN, Subtropical Division)"
,Riverine_forest ,Number,23,"Riverine forest (HUMID TEMPERATE DOMAIN, Subtropical Division)"
,Mixed_forest_-_meadow,Number,24,"Mixed forest - meadow (HUMID TEMPERATE DOMAIN, Subtropical Mountains)"
,Mixed_forests ,Number,25,"Mixed forests (HUMID TEMPERATE DOMAIN, Marine Division)"
,Deciduous_or_mixed_forest_-_coniferous_forest_-_meadow_(Marine_Mountains) ,Number,26,"Deciduous or mixed forest - coniferous forest - meadow (HUMID TEMPERATE DOMAIN, Marine Mountains)"
,Forest_-_meadow_medium ,Number,27,"Forest - meadow, medium (HUMID TEMPERATE DOMAIN, Marine Mountains)"
,Forest_-_meadow_high ,Number,28,"Forest - meadow, high (HUMID TEMPERATE DOMAIN, Marine Mountains)"
,Forest-steppes_and_prairies ,Number,29,"Forest-steppes and prairies (HUMID TEMPERATE DOMAIN, Prairie Division)"
,Prairies_and_savannas,Number,30,"Prairies and savannas (HUMID TEMPERATE DOMAIN, Prairie Division)"
,Dry_steppe_(Mediterranean_Division),Number,31,"Dry steppe (HUMID TEMPERATE DOMAIN, Mediterranean Division)"
,Mediterranean_hardleaved_evergreen_forests_open_woodlands_and_shrub ,Number,32,"Mediterranean hardleaved evergreen forests, open woodlands and shrub (HUMID TEMPERATE DOMAIN, Mediterranean Division)"
,Redwood_forests ,Number,33,"Redwood forests (HUMID TEMPERATE DOMAIN, Mediterranean Division)"
,Mixed_forest_-_coniferous_forest_-_alpine_meadow ,Number,34,"Mixed forest - coniferous forest - alpine meadow (HUMID TEMPERATE DOMAIN, Mediterranean Mountains)"
,Mediterranean_woodland_or_shrub_-_mixed_or_coniferous_forest_-_steppe_or_meadow ,Number,35,"Mediterranean woodland or shrub - mixed or coniferous forest - steppe or meadow (HUMID TEMPERATE DOMAIN, Mediterranean Mountains)"
,Shrub_or_woodland_-_steppe_-_meadow ,Number,36,"Shrub or woodland - steppe - meadow (HUMID TEMPERATE DOMAIN, Mediterranean Mountains)"
,Coniferous_open_woodland_and_semideserts ,Number,37,"Coniferous open woodland and semideserts (DRY DOMAIN, Tropical/Subtropical Steppe Division)"
,Steppes_and_shrubs ,Number,39,"Steppes and shrubs (DRY DOMAIN, Tropical/Subtropical Steppe Division)"
,Shortgrass_steppes ,Number,40,"Shortgrass steppes (DRY DOMAIN, Tropical/Subtropical Steppe Division)"
,Steppe_or_semidesert_-_mixed_forest_-_alpine_meadow_or_steppe ,Number,41,"Steppe or semidesert - mixed forest - alpine meadow or steppe (DRY DOMAIN, Tropical/Subtropical Steppe Mountains)"
,Semideserts_(Tropical_Subtropical_Desert_Division) ,Number,42,"Semideserts (DRY DOMAIN, Tropical/Subtropical Desert Division)"
,Deserts_on_sand ,Number,44,"Deserts on sand (DRY DOMAIN, Tropical/Subtropical Desert Division)"
,Steppes,Number,47,"Steppes (DRY DOMAIN, Temperate Steppe Division)"
,Dry_steppes_(Temperate_Steppe_Division),Number,48,"Dry steppes (DRY DOMAIN, Temperate Steppe Division)"
,Forest-steppe_-_coniferous_forest_-_meadow_-_tundra ,Number,49,"Forest-steppe - coniferous forest - meadow - tundra (DRY DOMAIN, Temperate Steppe Mountains)"
,Steppe_-_coniferous_forest_-_tundra ,Number,50,"Steppe - coniferous forest - tundra (DRY DOMAIN, Temperate Steppe Mountains)"
,Steppe_-_coniferous_forest ,Number,51,"Steppe - coniferous forest (DRY DOMAIN, Temperate Steppe Mountains)"
,Steppe_-_open_woodland_-_coniferous_forest_-_alpine_meadow ,Number,52,"Steppe - open woodland - coniferous forest - alpine meadow (DRY DOMAIN, Temperate Steppe Mountains)"
,Semideserts_(Temperate_Desert_Division) ,Number,53,"Semideserts (DRY DOMAIN, Temperate Desert Division)"
,Semideserts_and_deserts ,Number,54,"Semideserts and deserts (DRY DOMAIN, Temperate Desert Division)"
,Semidesert_-_open_woodland_-_coniferous_forest_-_alpine_meadow ,Number,55,"Semidesert - open woodland - coniferous forest - alpine meadow (DRY DOMAIN, Temperate Desert Mountains)"
,Open_woodlands_shrubs_and_savannas ,Number,56,"Open woodlands, shrubs, and savannas (HUMID TROPICAL DOMAIN, Savanna Division)"
,ALL_BAILEY_ECOREGIONS ,Number,1 to 56,ALL BAILEY ECOREGIONS
,,,,
Kuchler_ecoregions_on_25km_grid.nc ,y,meters,-3802596.0 to 4242352.0,y coordinate of projection
,x,meters,-3414576.0 to 3802596.0,x coordinate of projection
,ID,NA,2904 to 32582,unique grid point identifier
,latitude,decimal degrees,2.172780 to 87.894984,"latitude of grid point in decimal degrees (These grid-point latitude values were recalculated using 6 decimal places whereas the latitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,longitude,decimal degrees,-186.782172 to -9.989273,"longitude of grid point in decimal degrees (These grid-point longitude values were recalculated using 6 decimal places whereas the longitudes in the .csv file have 3 decimal places. See discussion in the ""Evolution of the atlas over the 16 years between Volumes A&B and G"" section above.)"
,row,NA,66 to 311,row identifier (y-coordinate)
,col,NA,1 to 257,column identifier (x-coordinate)
,elevation,meters,-115 to 3736 9999?,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,albers_conical_equal_area,NA,NA,Albers conical equal-area projection details
,Water_Glaciers_or_no_data ,Number,-9999,"Water, Glaciers, or no data"
,Spruce-cedar-hemlock_forest_(Picea-Thuja-Tsuga) ,Number,1,"Spruce-cedar-hemlock forest (Picea-Thuja-Tsuga) (WESTERN FORESTS, Needleleaf Forests)"
,Cedar-hemlock-Douglas_fir_forest_(Thuja-Tsuga-Pseudotsuga) ,Number,2,"Cedar-hemlock-Douglas fir forest (Thuja-Tsuga-Pseudotsuga) (WESTERN FORESTS, Needleleaf Forests)"
,Silver_fir-Douglas_fir_forest_(Abies-Pseudotsuga) ,Number,3,"Silver fir-Douglas fir forest (Abies-Pseudotsuga) (WESTERN FORESTS, Needleleaf Forests)"
,Fir-hemlock_forest_(Abies-Tsuga) ,Number,4,"Fir-hemlock forest (Abies-Tsuga) (WESTERN FORESTS, Needleleaf Forests)"
,Mixed_conifer_forest_(Abies-Pinus-Pseudotsuga),Number,5,"Mixed conifer forest (Abies-Pinus-Pseudotsuga) (WESTERN FORESTS, Needleleaf Forests)"
,Redwood_forest_(Sequoia-Pseudotsuga) ,Number,6,"Redwood forest (Sequoia-Pseudotsuga) (WESTERN FORESTS, Needleleaf Forests)"
